School,Conference,Coach,SchoolPay,TotalPay,Bonus,BonusPaid,AssistantPay,Buyout
Connecticut,AAC,Randy Edsall,1100000.00,1100000.00,650000.00,129000.00,0.00,1000000.00
Duke,ACC,David Cutcliffe,2540928.00,2540928.00,--,--,0.00,--
East Carolina,AAC,Scottie Montgomery,1102500.00,1102500.00,850000.00,0.00,0.00,1233333.00
Eastern Michigan,MAC,Chris Creighton,460000.00,460000.00,395000.00,10000.00,0.00,950000.00
Florida,SEC,Dan Mullen,6070000.00,6070000.00,925000.00,--,0.00,12000000.00
Florida Atlantic,C-USA,Lane Kiffin,1000000.00,1000000.00,1150000.00,40000.00,0.00,2850000.00
Florida International,C-USA,Butch Davis,945000.00,945000.00,550000.00,35000.00,0.00,3185626.00
Florida State,ACC,Willie Taggart,5000000.00,5000000.00,1475000.00,--,0.00,21958333.00
Fresno State,Mt. West,Jeff Tedford,1550000.00,1550000.00,2765000.00,1240000.00,0.00,5440000.00
Georgia,SEC,Kirby Smart,6603600.00,6603600.00,1150000.00,1350000.00,0.00,27917500.00
Georgia Southern,Sun Belt,Chad Lunsford,650000.00,650000.00,295000.00,--,0.00,83333.00
Georgia State,Sun Belt,Shawn Elliott,569000.00,569000.00,220000.00,60000.00,0.00,1500000.00
Georgia Tech,ACC,Paul Johnson,3060018.00,3060018.00,1330000.00,225000.00,0.00,4000000.00
Hawaii,Mt. West,Nick Rolovich,425004.00,486504.00,1260000.00,0.00,0.00,300000.00
Houston,AAC,Major Applewhite,1750000.00,1750000.00,782500.00,20000.00,0.00,2112500.00
Illinois,Big Ten,Lovie Smith,5000000.00,5000000.00,1000000.00,50000.00,0.00,12636991.00
Indiana,Big Ten,Tom Allen,1830000.00,1830000.00,1441668.00,0.00,0.00,2000000.00
Iowa,Big Ten,Kirk Ferentz,4700000.00,4700000.00,2875000.00,600000.00,0.00,22396250.00
Iowa State,Big 12,Matt Campbell,3500000.00,3500000.00,750000.00,650000.00,0.00,19291667.00
Kansas,Big 12,David Beaty,1701109.00,1701109.00,2000000.00,0.00,0.00,3000000.00
Kansas State,Big 12,Bill Snyder,3500000.00,3500000.00,580000.00,50000.00,0.00,3000000.00
Kent State,MAC,Sean Lewis,440000.00,440000.00,406000.00,--,0.00,1150000.00
Kentucky,SEC,Mark Stoops,4000000.00,4013600.00,3100000.00,300000.00,0.00,15625000.00
Liberty,Ind.,Turner Gill,947281.00,947281.00,--,--,0.00,--
Louisiana Tech,C-USA,Skip Holtz,700000.00,700000.00,395000.00,0.00,0.00,2508333.00
Louisiana-Lafayette,Sun Belt,Billy Napier,850000.00,850000.00,435000.00,--,0.00,2671875.00
Louisiana-Monroe,Sun Belt,Matt Viator,390000.00,390000.00,50000.00,0.00,0.00,175000.00
Louisville,ACC,Bobby Petrino,3980434.00,3980434.00,1472917.00,869917.00,0.00,14056250.00
LSU,SEC,Ed Orgeron,3500000.00,3500000.00,1575000.00,100000.00,0.00,5291667.00
Marshall,C-USA,Doc Holliday,762570.00,762570.00,145000.00,55000.00,0.00,1951708.00
Maryland,Big Ten,DJ Durkin,2512000.00,2512000.00,625000.00,0.00,0.00,5096178.00
Massachusetts,Ind.,Mark Whipple,500000.00,500000.00,305000.00,20000.00,0.00,300000.00
Memphis,AAC,Mike Norvell,2600000.00,2600000.00,775000.00,185000.00,0.00,7431667.00
Miami (Fla.),ACC,Mark Richt,4058061.00,4058061.00,--,--,0.00,--
Miami (Ohio),MAC,Chuck Martin,524826.00,524826.00,582110.00,12669.00,0.00,522300.00
Michigan,Big Ten,Jim Harbaugh,7504000.00,7504000.00,1325000.00,150000.00,0.00,17111110.00
Michigan State,Big Ten,Mark Dantonio,4390417.00,4390417.00,650000.00,125000.00,0.00,7000000.00
Middle Tennessee,C-USA,Rick Stockstill,801504.00,803004.00,126142.00,65142.00,0.00,6633774.00
Minnesota,Big Ten,P.J. Fleck,3550000.00,3550000.00,900000.00,0.00,0.00,9291667.00
Mississippi,SEC,Matt Luke,3000000.00,3000000.00,1550000.00,--,0.00,0.00
Mississippi State,SEC,Joe Moorhead,2600000.00,2600000.00,1350000.00,--,0.00,0.00
Missouri,SEC,Barry Odom,2350000.00,2350000.00,1025000.00,375000.00,0.00,1912500.00
Navy,AAC,Ken Niumatalolo,2163000.00,2163000.00,--,--,0.00,--
Nebraska,Big Ten,Scott Frost,5000000.00,5000000.00,950000.00,--,0.00,25416667.00
Nevada,Mt. West,Jay Norvell,500000.00,500000.00,210000.00,0.00,0.00,900000.00
Nevada-Las Vegas,Mt. West,Tony Sanchez,600000.00,600000.00,260000.00,0.00,0.00,950000.00
New Mexico,Mt. West,Bob Davie,822690.00,823740.00,340000.00,0.00,0.00,1303294.00
New Mexico State,Ind.,Doug Martin,419640.00,419640.00,220000.00,20000.00,0.00,1532790.00
North Carolina,ACC,Larry Fedora,2575000.00,2575000.00,900000.00,50000.00,0.00,12215625.00
North Carolina State,ACC,Dave Doeren,3000000.00,3000000.00,1350000.00,275000.00,0.00,6125000.00
North Texas,C-USA,Seth Littrell,1425000.00,1425000.00,580000.00,130000.00,0.00,4425000.00
Northern Illinois,MAC,Rod Carey,633460.00,633460.00,205000.00,42500.00,0.00,1822918.00
Northwestern,Big Ten,Pat Fitzgerald,3619775.00,3619775.00,--,--,0.00,--
Notre Dame,Ind.,Brian Kelly,2129638.00,2129638.00,--,--,0.00,--
Ohio,MAC,Frank Solich,580331.00,580331.00,333833.00,60772.00,0.00,558275.00
Ohio State,Big Ten,Urban Meyer,7600000.00,7600000.00,775000.00,350000.00,0.00,38058402.00
Oklahoma,Big 12,Lincoln Riley,4800000.00,4800000.00,700000.00,180000.00,0.00,20833333.00
Oklahoma State,Big 12,Mike Gundy,5000000.00,5000000.00,900000.00,62500.00,0.00,16250000.00
Old Dominion,C-USA,Bobby Wilder,654667.00,654667.00,504895.00,0.00,0.00,1200000.00
Oregon,Pac-12,Mario Cristobal,2500000.00,2500000.00,1825000.00,--,0.00,5208333.00
Oregon State,Pac-12,Jonathan Smith,1900008.00,1900008.00,1275000.00,--,0.00,4037517.00
Penn State,Big Ten,James Franklin,4800000.00,4800000.00,1000000.00,300000.00,0.00,18375000.00
Pittsburgh,ACC,Pat Narduzzi,3017718.00,3017718.00,--,--,0.00,--
Purdue,Big Ten,Jeff Brohm,3800000.00,3800000.00,1290000.00,180000.00,0.00,21516667.00
Rice,C-USA,Mike Bloomgren,--,--,--,--,0.00,--
Rutgers,Big Ten,Chris Ash,2200000.00,2200000.00,960000.00,50000.00,0.00,10350000.00
San Diego State,Mt. West,Rocky Long,872576.00,873576.00,720000.00,95000.00,0.00,447412.00
San Jose State,Mt. West,Brent Brennan,590424.00,590424.00,210000.00,0.00,0.00,1476060.00
South Alabama,Sun Belt,Steve Campbell,600000.00,600000.00,295000.00,--,0.00,918333.00
South Carolina,SEC,Will Muschamp,4200000.00,4200000.00,1400000.00,100000.00,0.00,18650000.00
South Florida,AAC,Charlie Strong,1000000.00,1000000.00,815000.00,70000.00,0.00,192308.00
Southern California,Pac-12,Clay Helton,2625965.00,2625965.00,--,--,0.00,--
Southern Methodist,AAC,Sonny Dykes,--,--,--,--,0.00,--
Southern Mississippi,C-USA,Jay Hopson,500000.00,500000.00,870000.00,15000.00,0.00,1583333.00
Stanford,Pac-12,David Shaw,4311543.00,4311543.00,--,--,0.00,--
Syracuse,ACC,Dino Babers,2401206.00,2401206.00,--,--,0.00,--
Tennessee,SEC,Jeremy Pruitt,3846000.00,3846000.00,1200000.00,--,0.00,11780000.00
Texas,Big 12,Tom Herman,5500000.00,5500000.00,725000.00,75000.00,0.00,15416667.00
Texas A&M,SEC,Jimbo Fisher,7500000.00,7500000.00,1350000.00,--,0.00,68125000.00
Texas Christian,Big 12,Gary Patterson,4840717.00,4840717.00,--,--,0.00,--
Texas State,Sun Belt,Everett Withers,700000.00,700000.00,70833.00,0.00,0.00,773958.00
Texas Tech,Big 12,Kliff Kingsbury,3703975.00,3703975.00,1500000.00,25000.00,0.00,4231250.00
Texas-El Paso,C-USA,Dana Dimel,700000.00,700000.00,741665.00,--,0.00,2991667.00
Texas-San Antonio,C-USA,Frank Wilson,1100000.00,1100000.00,185000.00,17500.00,0.00,3562500.00
Toledo,MAC,Jason Candle,1125000.00,1125000.00,585000.00,210000.00,0.00,3558333.00
Troy,Sun Belt,Neal Brown,810000.00,810000.00,490000.00,100000.00,0.00,2911667.00
Tulane,AAC,Willie Fritz,1629000.00,1629000.00,--,--,0.00,--
Tulsa,AAC,Philip Montgomery,1518177.00,1518177.00,--,--,0.00,--
UCLA,Pac-12,Chip Kelly,3300000.00,3300000.00,1085000.00,--,0.00,9000000.00
Utah,Pac-12,Kyle Whittingham,3787917.00,3787917.00,935000.00,279167.00,0.00,9250000.00
Utah State,Mt. West,Matt Wells,900000.00,900000.00,765000.00,65000.00,0.00,2122917.00
Vanderbilt,SEC,Derek Mason,2812523.00,2812523.00,--,--,0.00,--
Virginia,ACC,Bronco Mendenhall,3550000.00,3550000.00,2165000.00,75000.00,0.00,18193750.00
Virginia Tech,ACC,Justin Fuente,4000000.00,4000000.00,435000.00,75000.00,0.00,15000000.00
Wake Forest,ACC,Dave Clawson,1831580.00,1831580.00,--,--,0.00,--
Washington,Pac-12,Chris Petersen,4375000.00,4377500.00,1050000.00,300000.00,0.00,26354166.00
Washington State,Pac-12,Mike Leach,3500000.00,3500000.00,725000.00,75000.00,0.00,4900000.00
West Virginia,Big 12,Dana Holgorsen,3605000.00,3617500.00,1000000.00,90000.00,0.00,7150000.00
Western Kentucky,C-USA,Mike Sanford Jr.,800000.00,805850.00,400000.00,0.00,0.00,1200000.00
Western Michigan,MAC,Tim Lester,800000.00,800000.00,346500.00,39250.00,0.00,800000.00
Wisconsin,Big Ten,Paul Chryst,3750000.00,3750000.00,--,290000.00,0.00,6000000.00
Wyoming,Mt. West,Craig Bohl,1412000.00,1412000.00,450000.00,236000.00,0.00,8016667.00
